Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492)
3.7503251443838236e-13,0.11224537200000557,0.0,0.0,0.0,0.0,0.32999999999977386,0.6699999999998234,2.2613966837925746e-13,1.7662990695812108e-13,1.1838242835725056e-18,4.951094484169598e-14,3.727263861649024e-27,7.92343127787929e-23,5.901993541775963e-25,1.3275725382332199e-28,1.8168089682930447e-30,7.876346250126637e-23,1.6289680510387652e-22,1.2482420042256211e-34,1.0101608474636703e-39,5.614066325961635e-48,2.720872914895135e-46,9.756341208366722e-28,1.2008603491157192e-25,1.006565617129075e-42,7.312030988419433e-48,1.4318849106699752e-54,4.506567760286321e-49,4.9987841106142236e-67,5.263131338089719e-75,1.5546026376481004e-61,2.717926747250134e-66,5.8916600197691755e-74,3.86532220502149e-85,1.004209312387663e-86,2.8038567004312335e-87,2.9798618638614293e-86,4.447665127504376e-88,2.0994586786059547e-95,1.553282725039054e-104,1.778579502046248e-99
7.503908607746261e-13,0.11224537200001113,0.0,0.0,0.0,0.0,0.32999999999954754,0.6699999999996467,4.524734424711577e-13,3.534280604823019e-13,4.735630357301096e-18,9.905011600606164e-14,1.4950443184658623e-26,3.195327240331335e-22,4.737673105328385e-24,1.0703419623587312e-27,1.4549064657381188e-29,3.157502244766358e-22,6.520338094451174e-22,2.004555589136488e-33,3.244908160714174e-38,1.821702222601896e-46,1.7673474198206271e-44,7.802188725883262e-27,9.607251060695782e-25,1.612227399930255e-41,2.3424376649854435e-46,4.966993743196013e-53,1.5630929386812538e-47,6.4074555733041694e-65,1.3614883955957356e-72,9.960471646491763e-60,3.4828295449008686e-64,1.4622470541811734e-71,1.9815688754545677e-82,2.906128221206985e-84,1.5991197322978722e-84,1.702363541664974e-83,5.073648888268628e-85,4.2914474689405275e-92,6.365689453426221e-101,7.271328076901835e-96
1e-12,0.11224537200002227,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029805369609299e-13,4.710116230407197e-13,9.454083413163536e-18,1.3197836478811097e-13,2.9873523938105337e-26,6.447461452784384e-22,1.5776342660640638e-23,3.602331839634291e-27,4.8430299874677466e-29,6.321472384202081e-22,1.3027677795300605e-21,1.2013850616156493e-32,3.6732116411947023e-37,2.0720499760923472e-45,3.9043403978981116e-43,2.5922555961542174e-26,3.194062643740987e-24,9.65744709324513e-41,2.649987276457065e-45,5.839119872962777e-52,1.838382267455458e-46,2.77099858690322e-63,1.1859023127251376e-70,2.1871062934579758e-58,1.5062685391124655e-62,1.181019231963325e-69,3.3871660975775156e-80,2.6651808014395125e-82,2.845369356223066e-82,3.0316181859092137e-81,1.802267317201487e-82,2.5216421440834115e-89,7.51305445859115e-98,8.540699072990885e-93
1.5011075534471137e-12,0.11224537200002227,0.0,0.0,0.0,0.0,0.32999999999909485,0.669999999999293,9.051339041423527e-13,7.070687303329465e-13,1.8926703182680088e-17,1.9808409408022696e-13,5.983263725206695e-26,1.2976345065545709e-21,3.793723272796777e-23,8.685476057397912e-27,1.1644921512832068e-28,1.2673360542915729e-21,2.6091610818993555e-21,3.2108200359463035e-32,1.0395999536952756e-36,5.866113858092211e-45,1.1387765709361357e-42,6.230044228895606e-26,7.677641702573602e-24,2.58087802133897e-40,7.499758898553186e-45,1.6564397296172812e-51,5.215259713248019e-46,8.205335177448207e-63,3.539350135951378e-70,6.377909608233585e-58,4.460286259914193e-62,3.5226411344243204e-69,1.0147354166816631e-79,7.957372453450797e-82,8.525541049387556e-82,9.083624552824997e-81,5.410257493338163e-82,7.575397197538732e-89,2.2583249625584227e-97,2.5672143510650635e-92
3.002540938792089e-12,0.11224537200004446,0.0,0.0,0.0,0.0,0.3299999999981895,0.6699999999985855,1.8104265962223524e-12,1.4145273616399538e-12,7.554378531130923e-17,3.95974752812306e-13,2.3897662362921324e-25,5.343614458761948e-21,3.0318316486590726e-22,7.140319888521517e-26,9.3179343606939e-28,5.10146518624897e-21,1.0439754693918037e-20,5.132509844005394e-31,3.3238160149208816e-35,1.8803110202197077e-43,7.30238790426228e-41,4.962562925862747e-25,6.125610047676388e-23,4.130250412443736e-39,2.4004385143584146e-43,5.405680414877899e-50,1.702631878722673e-44,1.0500191818863258e-60,9.323966125316571e-68,4.082480831696059e-56,5.710047277458227e-60,8.060917521652704e-67,5.191036112820708e-77,2.110458381461876e-79,4.29897797258934e-79,4.582320744890243e-78,5.456504693868999e-79,1.1363935500589733e-85,6.84073241345428e-94,7.702597980248883e-89
4.503974324137064e-12,0.11224537200006665,0.0,0.0,0.0,0.0,0.3299999999972842,0.6699999999978777,2.7156911713627467e-12,2.1221631250928103e-12,1.6028136341323598e-16,5.936882735866297e-13,5.071379391028323e-25,1.1578724751518354e-20,8.66129769797777e-22,2.0730208442199167e-25,2.7663998763609175e-27,1.088697809412085e-20,2.2187612536631134e-20,1.8877470656205425e-30,1.5166483869311574e-34,8.584061480737374e-43,4.012088525201918e-40,1.415403615934514e-24,1.7487321413542496e-22,1.5626118602092236e-38,1.1198359239151057e-42,2.4764906740304244e-49,7.800900891490005e-44,6.934774524475617e-60,5.704625620673597e-67,2.2829737101407977e-55,3.739191167093184e-59,5.89555652373939e-66,4.4268104494520914e-76,1.5994996868927124e-78,3.639918504994823e-78,3.8800133696186715e-77,5.16105892250152e-78,1.1299088089925528e-84,7.496532843462583e-93,8.426350967773666e-88
6.005407709482039e-12,0.11224537200008881,0.0,0.0,0.0,0.0,0.32999999999637886,0.6699999999971697,3.6209277434229592e-12,2.8299758613750615e-12,2.7302546082548875e-16,7.91224815718307e-13,8.63955782848983e-25,2.0101918371846158e-20,1.8252578836475823e-21,4.432372467644511e-25,6.0279362839355434e-27,1.8644219466987588e-20,3.785365887828931e-20,4.784271463357061e-30,4.518026634266106e-34,2.5579394293425716e-42,1.3791811559268965e-39,2.978616258460533e-24,3.683154414852303e-22,4.0675041321068275e-38,3.409949023245265e-42,7.395765713720259e-49,2.3297845471619797e-43,3.0405965360918495e-59,3.485226065895709e-66,7.991457823391628e-55,1.4829300432977298e-58,2.550742144343624e-65,2.4140016604168404e-75,8.090958334328113e-78,1.9733494385970944e-77,2.1035736758587352e-76,3.01830850906183e-77,6.834799187663603e-84,4.8997494866512246e-92,5.473791651956195e-87
9.008274480171988e-12,0.11224537200013304,0.0,0.0,0.0,0.0,0.32999999999456814,0.6699999999957534,5.431335517418526e-12,4.246016184690284e-12,5.638914901325165e-16,1.1858830355835341e-12,1.784549420630394e-24,4.282368983564684e-20,4.977364763643079e-21,1.2377208874494617e-24,1.7497109939760575e-26,3.8849020020997686e-20,7.838436384784881e-20,1.670904004254719e-29,1.9754752705636394e-33,1.118835813615437e-41,7.413357275874842e-39,8.104241236049652e-24,1.0035036770338854e-21,1.4926934479365716e-37,1.5535744482024272e-41,3.243034954939749e-48,1.0216766798455195e-42,2.9375398309726416e-58,6.436393780867892e-65,4.447487646990641e-54,9.937660591787383e-58,1.943419122716901e-64,3.4998790655294418e-74,1.05858414171258e-76,2.836343211238307e-76,3.0236236163658977e-75,4.801313442369643e-76,1.1349659525724373e-82,9.303993707747238e-91,1.0012057907100317e-85
1e-11,0.11224537200017727,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952857,6.029217615038212e-12,4.7138197340907025e-12,6.823696077241935e-16,1.3160800226726752e-12,2.159546261968377e-24,5.2355358394536396e-20,6.516934571862932e-21,1.6335947036418365e-24,2.3327195414803715e-26,4.7151454591404854e-20,9.493676824020798e-20,2.3518589276783663e-29,2.9732411877575422e-33,1.6840863002389138e-41,1.1876844355518018e-38,1.0602952683854323e-23,1.3135282282574709e-21,2.1351307001851185e-37,2.371448428039811e-41,4.884623975844132e-48,1.5388655508218957e-42,5.295154072158024e-58,1.2969956556004493e-64,7.213337169013329e-54,1.706184314743504e-57,3.46758319771543e-64,6.9442633519189745e-74,1.9356966799055793e-76,5.590429972183723e-76,5.959712552496331e-75,1.0142769487947666e-75,2.4613382174666966e-82,2.1408321332466975e-90,2.2922567598750355e-85
1.2011141250861939e-11,0.11224537200017727,0.0,0.0,0.0,0.0,0.3299999999927574,0.6699999999943365,7.241641253267041e-12,5.662705978836994e-12,9.568073464257499e-16,1.5798917632291123e-12,3.0281886775821923e-24,7.47757955231435e-20,1.0399087698509351e-20,2.6398920857234047e-24,3.8263515662290115e-26,6.647239893283208e-20,1.3333131070994277e-19,4.170495705588275e-29,5.7505641171709844e-33,3.2575566554997614e-41,2.469482880375042e-38,1.6898738870067703e-23,2.095056510939867e-21,3.8705743608981335e-37,4.666352229035752e-41,9.455760198359708e-48,2.979032445803046e-42,1.2344419933043102e-57,3.3114595683607416e-64,1.5201860143569303e-53,3.8112952988150917e-57,8.031963688689461e-64,1.753948002960244e-73,4.5593048106932764e-76,1.4045332301046924e-75,1.497342217424085e-74,2.6852296236847783e-75,6.63610608067252e-82,5.996989223725538e-90,6.402041560101102e-85
