Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35)
2.218722276673929e-13,0.11224537200000326,0.0,0.0,0.0,0.0,0.3299999999998662,0.6699999999998955,1.337863178525391e-13,1.0449387693226736e-13,4.144368515441556e-19,2.9292855357246274e-14,1.3000002364719725e-27,1.217026631440446e-25,1.2170277572419557e-25,1.125801509455684e-31
4.439372200851484e-13,0.11224537200000656,0.0,0.0,0.0,0.0,0.3299999999997323,0.6699999999997909,2.676880415354299e-13,2.0908371622062967e-13,1.6582573621549202e-18,5.860598357314687e-14,5.225386838294401e-27,9.792270366164485e-25,9.792288490543977e-25,1.812437949041784e-30
8.880672049206594e-13,0.11224537200001315,0.0,0.0,0.0,0.0,0.3299999999994645,0.6699999999995817,5.354890041625839e-13,4.1827892799300436e-13,6.630631550113854e-18,1.1721670680900304e-13,2.0941750680680282e-26,7.852603709334227e-24,7.852632784723774e-24,2.9075389545882925e-29
1e-12,0.11224537200002631,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029808565085883e-13,4.71009617357887e-13,9.133237199638566e-18,1.3198037240271104e-13,2.88578635633842e-26,1.4781212285580955e-23,1.478129634195753e-23,8.405637657218367e-29
1.7763271745916815e-12,0.11224537200002631,0.0,0.0,0.0,0.0,0.3299999999989289,0.6699999999991633,1.0710810143094662e-12,8.367314512484319e-13,2.6490444903024935e-17,2.34376053568857e-13,8.37612861360294e-26,6.283564634162904e-23,6.283611172712622e-23,4.653854971765166e-28
2.6645871442627036e-12,0.11224537200003946,0.0,0.0,0.0,0.0,0.32999999999839325,0.6699999999987447,1.606663133138744e-12,1.2552460411602195e-12,5.624151285926592e-17,3.5147333367117045e-13,1.7789225601616015e-25,1.796083357513128e-22,1.7961004827815193e-22,1.7125268391771724e-27
4.441107083604748e-12,0.11224537200006567,0.0,0.0,0.0,0.0,0.32999999999732205,0.6699999999979073,2.677787994933565e-12,2.0925232234560435e-12,1.5511909686259815e-16,5.854198913988242e-13,4.907998358176901e-25,8.239490440842909e-22,8.2396219907466965e-22,1.3154990378812652e-26
6.020333774777967e-12,0.11224537200008901,0.0,0.0,0.0,0.0,0.3299999999963698,0.6699999999971628,3.629927105948935e-12,2.83701084511503e-12,2.738934002350402e-16,7.931901560675359e-13,8.667024958001316e-25,1.8325276208818123e-21,1.832563262482659e-21,3.5641600846580074e-26
7.599560465951186e-12,0.11224537200011231,0.0,0.0,0.0,0.0,0.32999999999541757,0.6699999999964179,4.582033457612416e-12,3.5817062628827317e-12,4.2542644774542976e-16,1.0007526246235606e-12,1.3463051726205367e-24,3.4447846886119396e-21,3.444864527385406e-21,7.983877346684119e-26
9.178787157124405e-12,0.11224537200013555,0.0,0.0,0.0,0.0,0.32999999999446533,0.6699999999956728,5.53410921626861e-12,4.326596364351115e-12,6.075518224704889e-16,1.208120409475179e-12,1.9227499272054293e-24,5.73328882729935e-21,5.7334415588140624e-21,1.5273151471140862e-25
1e-11,0.112245372000182,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952854,6.02918851367945e-12,4.71400453794106e-12,7.113766823395102e-16,1.3158953595904364e-12,2.2513701142465083e-24,7.16745560016088e-21,7.167658551846741e-21,2.0295168586102884e-25
1.2337240539470843e-11,0.112245372000182,0.0,0.0,0.0,0.0,0.3299999999925608,0.6699999999941821,7.43819151828525e-12,5.816818835227036e-12,1.0410160058566762e-15,1.622413711230777e-12,3.2947392356337293e-24,1.2163411731117024e-20,1.2163803732075746e-20,3.9200095872138055e-25
1.549569392181728e-11,0.11224537200022838,0.0,0.0,0.0,0.0,0.32999999999065627,0.6699999999926907,9.342161675898357e-12,7.307760268524874e-12,1.5866211480666253e-15,2.03598805055065e-12,5.0217183223417966e-24,2.2024078987467734e-20,2.2024905490310284e-20,8.265028425461239e-25
1.8654147304163718e-11,0.11224537200027464,0.0,0.0,0.0,0.0,0.32999999998875174,0.6699999999911984,1.1246013044656724e-11,8.799467634523048e-12,2.251010711674851e-15,2.4487964571554384e-12,7.124717516756818e-24,3.6302959643861204e-20,3.6304517817931994e-20,1.5581740707944114e-24
2.4971054068856595e-11,0.11224537200036686,0.0,0.0,0.0,0.0,0.3299999999849427,0.6699999999882109,1.505335827970956e-11,1.1785215132387608e-11,3.937273985631163e-15,3.2720805044516383e-12,1.246235611377543e-23,8.313159214483644e-20,8.313627575090792e-20,4.683606071486218e-24
3.128796083354947e-11,0.11224537200045867,0.0,0.0,0.0,0.0,0.3299999999811337,0.66999999998522,1.8860233429807963e-11,1.4774056480720763e-11,6.093593349401383e-15,4.092270701219123e-12,1.9287989007012603e-23,1.5876322855210107e-19,1.5877418048414836e-19,1.0951932047274019e-23
4.3921774362935224e-11,0.11224537200064111,0.0,0.0,0.0,0.0,0.32999999997351565,0.6699999999792273,2.6472613007786978e-11,2.0760967662783736e-11,1.1776832550666976e-14,5.723422609176231e-12,3.7277983152705655e-23,4.3158504064870065e-19,4.3162753955464403e-19,4.2498905943390686e-23
