Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183)
7.801394544091999e-12,0.11224537200011528,0.0,0.0,0.0,0.0,0.32999999999529583,0.6699999999963228,4.703739377446701e-12,3.676747212750566e-12,4.2349366817737493e-16,1.0274155163034674e-12,1.3401759122397426e-24,3.1618516891925356e-20,3.2361632017581676e-21,7.931780698365128e-25,1.1364965153002476e-26,2.9034119580710777e-20,5.878361065323051e-20,9.407303267607601e-30,9.631184012083964e-34,5.4535617986283175e-42,3.12907952486375e-39,5.2764398275679685e-24,6.527901544888545e-22,8.396684368948897e-38,7.568305264701119e-42,1.5783130094921277e-48,4.972064503164974e-43,1.0735159611224238e-58,2.0064939755901536e-65,1.87675500589586e-54
1e-11,0.11224537200015358,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952855,6.02923184043638e-12,4.713728746860986e-12,6.681426630431133e-16,1.3161710129039101e-12,2.1145099077761798e-24,5.09827350790403e-20,6.121133493465962e-21,1.5243440764796369e-24,2.2374154619147542e-26,4.609473186083434e-20,9.291359869058955e-20,2.0827344651255585e-29,2.4477284525839385e-33,1.3862908027130626e-41,8.986953005316648e-39,9.965238937216126e-24,1.2340290740675432e-21,1.9230537928927827e-37,1.9783791282866998e-41,4.0180260356444384e-48,1.265825186237569e-42,3.818276395103376e-58,8.602415403974302e-65,5.517697268423299e-54
1.0401953451689635e-11,0.11224537200015358,0.0,0.0,0.0,0.0,0.3299999999937277,0.6699999999950959,6.271555092119937e-12,4.90334946003179e-12,7.188049972429086e-16,1.368924196955075e-12,2.2748632069538573e-24,5.504045529721429e-20,6.7627010652347046e-21,1.687873485568512e-24,2.4853581515796658e-26,4.9640183496966394e-20,9.998873507698607e-20,2.348417492405164e-29,2.8040033675662086e-33,1.5881051283210276e-41,1.0424893939042523e-38,1.100737334124338e-23,1.3632600565454706e-21,2.1772853815721443e-37,2.273245169933943e-41,4.603690759136883e-48,1.450337167530971e-42,4.5113886120043386e-58,1.0302829926053902e-64,6.415094855599623e-54
1.3002512359287272e-11,0.1122453720001918,0.0,0.0,0.0,0.0,0.32999999999215957,0.6699999999938684,7.839289022450438e-12,6.130473307101672e-12,1.0959098378746803e-15,1.7099112606287022e-12,3.468473386383977e-24,8.606265810524359e-20,1.2295285425329677e-20,3.1249440386757926e-24,4.6627706667091686e-26,7.624523906477385e-20,1.5278005904053912e-19,4.977536769090714e-29,6.802731710968707e-33,3.8535429925725203e-41,2.852861951997945e-38,1.9977930861249807e-23,2.4769557994481617e-21,4.760463762875083e-37,5.672018740795861e-41,1.1184867120458665e-47,3.5237783471948814e-42,1.541438830846488e-57,4.3684355205012515e-64,1.7990172384314832e-53
1.8203630174482545e-11,0.11224537200026806,0.0,0.0,0.0,0.0,0.32999999998902335,0.6699999999914116,1.0974509673259142e-11,8.586313898780834e-12,2.0973540768256917e-15,2.390292437753571e-12,6.638331434373216e-24,1.7423644429087817e-19,3.234607510130208e-20,8.624933835944151e-24,1.2757282045345358e-25,1.4841547243506104e-19,2.9387614156318688e-19,1.8175979377197795e-28,3.508202503141134e-32,1.9879949401211906e-40,2.125373756197186e-37,5.23133072644088e-23,6.505371778603386e-21,1.8308867671869108e-36,3.1116598370261356e-40,5.784776334441903e-47,1.8226167937762102e-41,2.0892845396585927e-56,9.627083368879216e-63,1.436862542061357e-52
2.8605865804873092e-11,0.11224537200041977,0.0,0.0,0.0,0.0,0.3299999999827509,0.6699999999864906,1.724398647235523e-11,1.3504301225412134e-11,5.0648244697346226e-15,3.744748439111759e-12,1.6031496724502453e-23,4.703599355788131e-19,1.2403769361792398e-19,3.6623062421037196e-23,5.06567317937908e-25,3.7140257600039076e-19,7.17406720933622e-19,1.143373489703634e-27,3.762109496494152e-31,2.1326336747894948e-39,4.0359071680517834e-36,1.9850734700405462e-22,2.485311698188708e-20,1.20820451398045e-35,3.5398669964316115e-39,6.221468185188009e-46,1.9603497813262115e-40,6.992163361119073e-55,5.664314652968381e-61,2.91960617783613e-51
3.900810143526364e-11,0.11224537200057039,0.0,0.0,0.0,0.0,0.3299999999764785,0.66999999998156,2.3512200567507908e-11,1.8430668144833712e-11,9.295079641665157e-15,5.090824567736276e-12,2.942209251369281e-23,9.475376262014867e-19,3.0577586218751447e-19,9.73223919823153e-23,1.268075928795856e-24,7.037067003264692e-19,1.3297581805228582e-18,3.704295632889598e-27,1.5632194344631065e-30,8.862433440192739e-39,2.0962206983846717e-35,4.852547663572239e-22,6.108535935528253e-20,3.9829600320141137e-35,1.4973822328534561e-38,2.5874698339084914e-45,8.153162023530694e-40,4.4868024567981404e-54,4.659601149238041e-60,1.5425616933783904e-50
5.981257269604473e-11,0.11224537200086841,0.0,0.0,0.0,0.0,0.3299999999639336,0.6699999999716703,3.6045018128465156e-11,2.830826676832682e-11,2.1366280377494558e-14,7.758111199570381e-12,6.763316837268998e-23,2.5982121203550343e-18,1.0929077107589692e-18,4.0858968921216232e-22,4.633825645353327e-24,1.7277220039232864e-18,3.1222960248708572e-18,2.0889257727299873e-26,1.4177268086002032e-29,8.038779870370872e-38,3.1182610163365555e-34,1.7000106374971087e-21,2.1678351674957036e-19,2.3027000324888106e-34,1.3962519741781518e-37,2.349501417951962e-44,7.40355263361044e-39,1.1635804893152654e-52,2.464852758937293e-58,2.3649689962477248e-49
7.853659683074772e-11,0.11224537200113306,0.0,0.0,0.0,0.0,0.3299999999526432,0.6699999999627376,4.732057035520641e-11,3.7226244085080955e-11,3.621387247165375e-14,1.0130529653563824e-11,1.1463321110650532e-22,4.99289444247255e-18,2.4001349085644385e-18,9.92624298986705e-22,1.0309954259358242e-23,3.0827962101137422e-18,5.384113699932604e-18,5.788936078575199e-26,4.827480514960044e-29,2.737397505096731e-37,1.2700311179827353e-33,3.6805261579398255e-21,4.736685647259194e-19,6.45590450017658e-34,4.8039951156388385e-37,8.003229050712749e-44,2.521935131156285e-38,6.0246720700180354e-52,1.7798815133499207e-57,9.720414593748308e-49
9.726062096545071e-11,0.11224537200139424,0.0,0.0,0.0,0.0,0.32999999994135276,0.6699999999537748,5.859254863627173e-11,4.6170557394608307e-11,5.463514165628575e-14,1.2476611205740587e-11,1.7294597001542185e-22,8.4226149311947e-18,4.449744864101673e-18,2.0177772749059303e-21,1.9344648127977444e-23,4.884313304538929e-18,8.262169897583834e-18,1.297174862024574e-25,1.2895811472446186e-28,7.3127366448669305e-37,3.994569847904528e-33,6.727262366856194e-21,8.737094028798673e-19,1.4618520857099037e-33,1.2955811549418144e-36,2.1384902626295748e-43,6.73874339139784e-38,2.189649300442543e-51,7.948304253618793e-57,3.084293740910277e-48
9.999999999999999e-11,0.11224537200165223,0.0,0.0,0.0,0.0,0.3299999999397009,0.6699999999524611,6.024138614431982e-11,4.7481321263822045e-11,5.761579537848706e-14,1.2817664773111575e-11,1.8238128249926946e-22,9.023433909664094e-18,4.824242773260809e-18,2.2178158310311032e-21,2.1010926458982005e-23,5.187840849358762e-18,8.735046988926339e-18,1.444497866367883e-25,1.4744437132881007e-28,8.361060057057122e-37,4.688372595453806e-33,7.277304397635055e-21,9.464884488743236e-19,1.6305580653070815e-33,1.4836193726879478e-36,2.4451316065797896e-43,7.705029141958265e-38,2.6593798257774697e-51,1.0260495288417132e-56,3.6254903342854386e-48
1.1598464510015369e-10,0.11224537200165223,0.0,0.0,0.0,0.0,0.32999999993006235,0.6699999999447825,6.986112091934312e-11,5.514092669353147e-11,7.646196776678576e-14,1.4796635859523035e-11,2.4203924936454923e-22,1.3033450876066239e-17,7.389405122527183e-18,3.639871005969788e-21,3.2487405633070044e-23,7.162378957623228e-18,1.1758077313002203e-17,2.519147234333623e-25,2.893284609834677e-28,1.6407112378934236e-36,1.0239463210796402e-32,1.1017779864965569e-20,1.443711827344949e-18,2.8658578943438756e-33,2.930938451863345e-36,4.7987644909207864e-43,1.5121788699931882e-37,6.609397242688142e-51,3.09285381819815e-56,7.96527184923917e-48
1.3470866923485668e-10,0.11224537200190693,0.0,0.0,0.0,0.0,0.32999999991877194,0.6699999999357613,8.112645413818851e-11,6.413706330251319e-11,1.0152724567815944e-13,1.7090892294752648e-11,3.2138406659543355e-22,1.89706456690296e-17,1.1366464423452768e-17,6.04163210137963e-21,5.051882555923041e-23,9.946945164335513e-18,1.5873500277626075e-17,4.434489297555651e-25,5.769622781428121e-28,3.2718679630714786e-36,2.2915651706660656e-32,1.6716732609401922e-20,2.209776048987411e-18,5.09009394191738e-33,5.8899049676414964e-36,9.570747848363196e-43,3.015929473600983e-37,1.7189900759149566e-50,1.0100592465352629e-55,1.7948167745611687e-47
1.7215671750426265e-10,0.11224537200240677,0.0,0.0,0.0,0.0,0.3299999998961911,0.6699999999176334,1.0364796131803001e-10,8.220561903999699e-11,1.6081464984345966e-13,2.160311992429331e-11,5.090603228855893e-22,3.530975462901326e-17,2.292819736756656e-17,1.3942836324241572e-20,1.0404544373025352e-22,1.7135821218935416e-17,2.5968769712958004e-17,1.1166808499930703e-24,1.7886830890723104e-27,1.0143600662009457e-35,8.643215119022235e-32,3.2831311873953655e-20,4.41448131027824e-18,1.3036579958413168e-32,1.8527464012549234e-35,2.9676789094275554e-42,9.351783665377588e-37,8.630274478390667e-50,7.71535590819858e-55,6.8577819346292855e-47
2.0960476577366863e-10,0.11224537200289414,0.0,0.0,0.0,0.0,0.3299999998736103,0.6699999998993947,1.261582728867626e-10,1.003739707835254e-10,2.312934101999629e-13,2.6015547929152678e-11,7.321635729979264e-22,5.848697933347403e-17,4.020584859769418e-17,2.751171252028873e-20,1.861532987691979e-22,2.666715510270153e-17,3.8560962826374847e-17,2.3462039137860712e-24,4.437111576702191e-27,2.516320602415754e-35,2.494741240676131e-31,5.607354767590952e-20,7.666835172186605e-18,2.782545350666709e-32,4.6555237038794924e-35,7.362752124267017e-42,2.3201667712581425e-36,3.012977225136381e-49,3.532282160608645e-54,2.000886038456409e-46
2.470528140430746e-10,0.11224537200336947,0.0,0.0,0.0,0.0,0.32999999985102946,0.6699999998810483,1.4865854433099495e-10,1.1863978798907211e-10,3.11806857143699e-13,3.0330506871336866e-11,9.870323011865046e-22,8.950874062119883e-17,6.423695914003067e-17,4.8925139968712e-20,3.034108366725122e-22,3.874904929111106e-17,5.366348519631288e-17,4.379240055466431e-24,9.555268964007938e-27,5.418930927036452e-35,6.121583332218309e-31,8.724333179367756e-20,1.2130306281936869e-17,5.274480995601615e-32,1.0150873517449505e-34,1.5857119120269716e-41,4.996943115202032e-36,8.657733052258444e-49,1.2923977678889134e-53,4.960584082525264e-46
